Accreditation code,Power station name,State,Postcode,Installed capacity (MW),Fuel Source (s),Accreditation start date,Approval date
SRPXQLO8,DONS FORT - SOLAR W SGU - QLD,QLD,4660,0.421,Solar,21/10/2025,6/01/2026
SRPYNSK0,Mintus Coles - Solar w SGU- NSW,NSW,2153,0.190,Solar,9/12/2025,6/01/2026
SRPXQLP1,Ventora - Acacia Ridge - Solar - QLD,QLD,4110,0.162,Solar,17/11/2025,6/01/2026
SRPYNSK3,Bayside Aged Care - Solar - Morisset - NSW,NSW,2264,0.140,Solar,16/12/2025,8/01/2026
SRPVWAQ0,Matrix Composites and Engineering Pty Ltd - Solar - WA,WA,6166,0.850,Solar,17/12/2025,8/01/2026
SRPXQLP4,Accensi Narangba - Solar - QLD,QLD,4504,0.199,Solar,24/11/2025,9/01/2026
SRPXSA19,Bunge Port Giles - Solar - SA,SA,5583,0.478,Solar,11/12/2025,16/01/2026
SRPVWAP2,HBF Stadium Carpark 4 PV System - Solar w SGU - WA,WA,6010,0.259,Solar,10/09/2025,16/01/2026
SRPYNSJ2,Stockland M-park Building C - Solar - NSW,NSW,2113,0.125,Solar,6/11/2025,16/01/2026
SRPXVCU9,Waverley Gardens - Solar w SGU - VIC,VIC,3170,0.521,Solar,3/10/2025,20/01/2026
SRPXQLP3,The Barracks - Solar w SGU - QLD,QLD,4000,0.302,Solar,21/11/2025,21/01/2026
SRPXVCW5,Altona Stage 1 & BESS - Solar - Vic,VIC,3018,1.179,Solar,12/12/2025,22/01/2026
SRPYNSJ3,Tabbita-Solar-NSW,NSW,2652,7.157,Solar,7/11/2025,22/01/2026
SRPXQLO3,CLV GUV Village - Solar w SGU - QLD,QLD,4215,0.248,Solar,16/09/2025,23/01/2026
SRPYNSI3,BAULKHAM HILLS - SOLAR W SGU - NSW,NSW,2153,0.228,Solar,16/10/2025,27/01/2026
SRPVWAO8,RAAFA (ARK) - Solar - WA,WA,6149,0.300,Solar,25/08/2025,27/01/2026
SRPXVCW2,CHARTER HALL-CL3030 DRYSTONE-SOLAR-VIC,VIC,3029,0.223,Solar,26/11/2025,29/01/2026
SRPYNSI1,Leppington BP 3 & BESS - Solar w SGU - NSW,NSW,2179,0.783,Solar,3/10/2025,29/01/2026
SRPXSA17,Woolworths CFC Adelaide 8849 - Solar - SA,SA,5035,0.330,Solar,10/12/2025,29/01/2026
SRPXSA21,Yumbah Aquaculture Ltd - Solar - SA,SA,5223,0.752,Solar,16/01/2026,29/01/2026
SRPVAC42,40 Cameron Ave - Solar - ACT,ACT,2617,0.185,Solar,12/12/2025,11/02/2026
SRPXQLQ6,BC Westcourt - Solar - QLD,QLD,4870,0.200,Solar,23/01/2026,11/02/2026
SRPXQLJ9,Bunnings Carseldine - Solar - QLD,QLD,4036,0.380,Solar,4/02/2026,11/02/2026
SRPXVCW1,Goodman AU744 Lawrence & Hanson - Solar - VIC,VIC,3194,0.101,Solar,20/11/2025,11/02/2026
SRPYNSJ0,Porsche Centre Parramatta - Solar - NSW,NSW,2142,0.040,Solar,4/11/2025,11/02/2026
SRPVTA30,UA Aldergate Village - Solar - TAS,TAS,7248,0.479,Solar,16/01/2026,11/02/2026
SRPXQLP5,BC Parkinson - Solar w SGU - QLD,QLD,4115,0.166,Solar,27/11/2025,19/02/2026
SRPXQLQ4,BC Sunnybank Hills - Solar - QLD,QLD,4109,0.049,Solar,12/12/2025,19/02/2026
SRPXQLM6,Martin Brower North Brisbane - Solar -QLD,QLD,4008,0.526,Solar,7/08/2025,19/02/2026
SRPYNSI2,Real Juice - Solar WSGU - NSW,NSW,2680,0.490,Solar,8/10/2025,19/02/2026
SRPYNSK6,Shellharbour Retail Centre & BESS - Solar - NSW,NSW,2529,0.439,Solar,6/02/2026,20/02/2026
SRPXQLP9,BC Murrumba Downs - Solar - QLD,QLD,4503,0.013,Solar,8/12/2025,24/02/2026
SRPXVCW4,CleanPeak Energy - 8 Acacia Place - Solar - VIC,VIC,3168,0.308,Solar,19/12/2025,24/02/2026
SRPYNSK5,Glen Innes-Solar-NSW,NSW,2370,6.994,Solar,24/12/2025,25/02/2026
SRPYNSK7,"Tweed City Shopping Centre, Tweed Heads South - Solar - NSW",NSW,2486,1.903,Solar,19/01/2026,25/02/2026
SRPXQLQ0,BC Bundaberg - Solar - QLD,QLD,4670,0.066,Solar,8/12/2025,26/02/2026