Probable Projects,State ,MW Capacity,Fuel Source
Barnawartha Solar Farm,VIC,64.000,Solar
Barwon solar farm,VIC,250.000,Solar
Bell Bay Wind Farm,TAS,224.000,Wind
Bendemeer Energy Hub - Solar,NSW,252.000,Solar
Binningup Solar Facility,WA,75.000,Solar
Boddington Giga Energy,WA,400.000,Solar
Bulli Creek Solar project Stage 1,QLD,775.000,Solar
Bullyard Solar Farm,QLD,100.000,Solar
Bundey Solar Farm,SA,240.000,Solar
Bungaban Wind Farm,QLD,"1,400.000",Wind
Campbells Forest Solar Farm,VIC,205.000,Solar
Clarke Creek Wind Farm Stage 2,QLD,704.000,Wind
Coppabella Wind Farm,NSW,284.000,Wind
Corop Solar Farm,VIC,440.000,Solar
Derby Solar Farm & Battery,VIC,95.000,Solar
Dinawan Wind Farm Stage 1,NSW,357.000,Wind
Elaine Solar Farm,VIC,125.000,Solar
Eurimbula Solar Farm,QLD,350.000,Solar
Frasers Solar Farm,VIC,77.000,Solar
Ganymirra Solar Power Station,QLD,150.000,Solar
Gawara Baya Wind Farm,QLD,399.000,Wind
Glanmire Solar Farm,NSW,60.000,Solar
Goyder North Wind Farm Stage 1,SA,300.000,Wind
Guthrie's Gap Solar Power Station,QLD,300.000,Solar
Hexham Wind Farm,VIC,600.000,Wind
Hopeland Solar Farm,QLD,250.000,Solar
Junction Rivers Wind Farm,NSW,585.000,Wind
Kalgoorlie Regional Renewable Energy Project (Solar),WA,138.000,Solar
Kalgoorlie Regional Renewable Energy Project (Wind),WA,256.000,Wind
Kentbruck Green Power Hub,VIC,600.000,Wind
Kiamal Solar Farm - Stage 2,VIC,150.000,Solar
Kidston Stage 3 Wind Project,QLD,120.000,Wind
Lakeland Wind Farm,QLD,100.000,Wind
Liverpool Range Wind Stage 1,NSW,634.000,Wind
Lower Wonga Solar Farm project,QLD,281.000,Solar
Majors Creek Solar Farm,QLD,150.000,Solar
Merino Solar Farm,NSW,450.000,Solar
Middlebrook Solar Farm,NSW,363.000,Solar
Moah Creek Wind Farm,QLD,360.000,Wind
Mount Hopeful Wind Farm,QLD,350.000,Wind
Northern Midlands Solar Farm,TAS,288.000,Solar
Nowingi Solar Power Station,VIC,300.000,Solar
Port Augusta Energy Park Stage 2,SA,300.000,Solar
Punchs Creek Solar Farm,QLD,400.000,Solar
Sandy Creek Solar Farm,NSW,700.000,Solar
Silverleaf Solar Farm,NSW,120.000,Solar
Smoky Creek Solar Power Station,QLD,300.000,Solar
Spicers Creek Wind Farm,NSW,700.000,Wind
Tallawang Solar Farm,NSW,500.000,Solar
Theodore Wind Farm,QLD,"1,152.000",Wind
Thunderbolt Wind Farm stage 1,NSW,230.000,Wind
Upper Calliope Solar Farm,QLD,"1,100.000",Solar
Vales Point Solar Farm,NSW,62.000,Solar
Valley of the Winds,NSW,936.000,Wind
Waroona Solar Farm,WA,120.000,Solar
West Mokoan Solar Farm,VIC,300.000,Solar
Willogoleche 2 Wind Farm,SA,108.000,Wind
Winton North Solar Farm,VIC,100.000,Solar
Woolsthorpe Wind Farm,VIC,70.000,Wind